treatment,stratum,stratum_group,comment_karma,link_karma,tenure_i,gold,deltas_received,num_cmv_post,num_cmv_comments,cmv_tenure,average_comment_length
1,1,1,2378,1882,17.314179142669758,0,1.0,0,0,0,0.0
0,1,1,9690,13672,17.29746088779613,0,1.0,0,0,0,0.0
1,1,1,77261,3077,17.291745972846957,0,1.0,0,0,0,0.0
0,1,1,9782,3794,17.281197040101755,0,2.0,0,0,0,0.0
1,1,1,8477,3607,17.27995971533688,0,2.0,0,0,0,0.0
0,1,1,114259,4851,17.27885864934961,0,4.0,0,0,0,0.0
0,1,1,2792,1794,17.272794943617864,0,1.0,0,0,0,0.0
1,1,1,63848,4509,17.26898194769929,0,1.0,0,0,0,0.0
0,1,1,110723,19740,17.263965057948486,0,1.0,0,0,0,0.0
1,1,1,11037,12496,17.255636319387886,0,2.0,0,0,0,0.0
0,1,1,47311,1401,17.23974559892752,0,2.0,0,2,25,51.75
1,1,1,28357,3633,17.232120272540218,0,8.0,0,4,33,86.53333333333333
0,1,1,40578,3787,17.229647112350595,0,1.0,0,0,0,0.0
0,1,1,33077,1658,17.220291141047326,1,2.0,0,0,0,0.0
1,1,1,213216,12621,17.217883987144624,1,1.0,0,0,0,0.0
0,1,1,21897,456,17.194230445683928,0,3.0,0,1,0,16.0
0,1,1,54998,3039,17.17338706722676,0,3.0,0,0,0,0.0
0,1,1,72204,47961,17.165226433972013,0,1.0,0,0,0,0.0
0,1,1,402876,12115,17.163122028060283,0,5.0,0,0,0,0.0
0,1,1,61276,199,17.132606684688163,0,1.0,0,0,41,73.375
1,1,1,18664,244,17.132464024916825,0,1.0,0,0,0,0.0
1,1,1,46845,300133,17.120103610943644,0,1.0,0,0,0,0.0
0,1,1,58089,17739,17.114638144621743,0,2.0,0,0,0,0.0
0,1,1,16227,3266,17.11052984741283,0,2.0,0,0,0,124.5
1,1,1,149273,9197,17.106054982404086,0,2.0,0,0,38,136.72727272727272
0,1,1,44365,162,17.105251023928155,0,1.0,0,0,0,0.0
0,1,1,91977,4295,17.086525487131947,0,5.0,0,0,0,0.0
1,1,1,212,8,17.08639791089041,0,1.0,0,0,0,0.0
0,1,1,83468,899,17.085777679947626,0,1.0,0,0,0,117.66666666666669
0,1,1,2770,30,17.08551866151783,0,1.0,0,0,0,0.0
0,1,1,42488,579,17.08540242961173,0,5.0,0,3,35,165.6
1,3,2,49994,340,17.08461862475965,0,22.0,0,0,0,0.0
1,1,1,297827,86332,17.084175561915835,0,2.0,0,1,0,37.0
0,1,1,21658,7652,17.07921767538454,0,1.0,0,0,0,0.0
0,1,1,13323,2850,17.075931905871016,0,1.0,0,0,0,0.0
0,1,1,151774,4363,17.07514962204715,0,2.0,0,0,0,0.0
1,1,1,161568,6249,17.07479183184764,0,1.0,0,0,0,0.0
1,3,2,143288,50184,17.05905806248622,0,25.0,0,0,0,0.0
0,1,1,41235,8348,17.05086022741638,0,1.0,0,0,0,0.0
0,1,1,37228,2709,17.045695797928712,0,1.0,0,0,0,0.0
1,1,1,20263,9,17.04265744900484,0,2.0,0,0,0,0.0
0,2,2,124206,3049,17.036236048137855,0,10.0,0,0,0,0.0
1,1,1,21477,1674,17.026823545285925,0,2.0,0,0,0,0.0
0,1,1,10741,5580,17.026286939206884,0,1.0,0,0,0,0.0
1,1,1,8377,146,17.018372585770628,0,1.0,0,0,0,0.0
1,1,1,17047,1212,17.013167373713944,0,1.0,0,0,0,0.0
1,1,1,87477,5782,17.012582760181864,1,1.0,0,0,0,0.0
0,1,1,4316,20,17.012511715488984,0,2.0,0,0,0,0.0
1,1,1,6101,3740,17.01224185973316,0,1.0,0,0,0,0.0
1,1,1,299846,5533,17.007294366894666,1,2.0,0,0,0,0.0
0,1,1,59677,166267,17.007074768446117,0,1.0,0,0,13,21.0
0,1,1,22436,596,17.005059406061143,0,1.0,0,0,0,0.0
1,1,1,94608,29905,17.004830966636092,0,8.0,0,0,0,0.0
1,1,1,9035,6974,16.999598692952414,0,2.0,0,1,24,24.90909090909091
0,1,1,14291,1773,16.993982296268257,0,4.0,0,0,0,0.0
1,1,1,308468,6328,16.98482725912982,0,1.0,0,0,35,46.46666666666667
0,1,1,1985,53,16.982891180340555,0,1.0,0,0,0,0.0
0,1,1,279726,21254,16.9715245681774,0,1.0,0,0,0,0.0
