measure,label,sample_type,content,stratum,tier,n_visible,n_hidden,mean_visible,mean_hidden,delta,U_stat,p_value,sig
empath_social,Empath: social,zero-filled,Factual,2,10–19,272,436,0.09506537348757513,0.06321608348322351,0.03184929000435162,60708.5,0.2504295892566556,
empath_social,Empath: social,zero-filled,Factual,3,20–29,120,210,0.12277539607693765,0.04664578102436416,0.07612961505257348,13728.0,0.005137270549982061,***
empath_social,Empath: social,zero-filled,Factual,4,30–39,161,88,0.07827048897637455,0.04501755310899775,0.0332529358673768,7352.0,0.3269709558252999,
empath_social,Empath: social,zero-filled,Factual,5,40–49,140,87,0.12439144776741774,0.03769570998032042,0.08669573778709733,6231.0,0.5104166537298871,
empath_social,Empath: social,zero-filled,Factual,6,50–99,424,229,0.0713449710411061,0.05112290246353746,0.020222068577568635,47982.0,0.5972543237569465,
empath_social,Empath: social,zero-filled,Factual,7,100+,494,577,0.08053775193594145,0.12744740602161195,-0.046909654085670494,141202.0,0.6084569977134028,
empath_cognitive_processes,Empath: cognitive,zero-filled,All,1,1–9,5538,4706,0.19380811958758712,0.1873570977563494,0.006451021831237719,13185476.0,0.08116687546096357,*
empath_cognitive_processes,Empath: cognitive,zero-filled,All,2,10–19,632,960,0.2581658447439785,0.21703715469931162,0.041128690044666905,308808.5,0.3545653594102467,
empath_cognitive_processes,Empath: cognitive,zero-filled,All,3,20–29,277,452,0.3853745430663095,0.28315927352679654,0.10221526953951299,65904.0,0.11101868068147323,
empath_cognitive_processes,Empath: cognitive,zero-filled,All,4,30–39,343,202,0.2710704186783378,0.24659395351070837,0.02447646516762944,33982.0,0.5982756896515656,
empath_cognitive_processes,Empath: cognitive,zero-filled,All,5,40–49,321,198,0.2881655188016551,0.24060124137169397,0.04756427742996111,33038.5,0.2458239388604574,
empath_cognitive_processes,Empath: cognitive,zero-filled,All,6,50–99,890,511,0.23060247091526861,0.20149024102929922,0.0291122298859694,226550.0,0.8624181668648753,
empath_cognitive_processes,Empath: cognitive,zero-filled,All,7,100+,1067,1239,0.23127004858827763,0.2441310022960668,-0.012860953707789169,663930.5,0.7911363921722013,
empath_cognitive_processes,Empath: cognitive,zero-filled,Subjective,1,1–9,3079,2627,0.20264743870299903,0.20130305869064918,0.0013443800123498495,4098596.5,0.14760859306654506,
empath_cognitive_processes,Empath: cognitive,zero-filled,Subjective,2,10–19,360,524,0.23664251889905819,0.23935228673633052,-0.0027097678372723366,94136.5,0.9405111679480392,
empath_cognitive_processes,Empath: cognitive,zero-filled,Subjective,3,20–29,157,242,0.4054382134027293,0.2599077379517385,0.1455304754509908,20655.5,0.05460337308996157,*
empath_cognitive_processes,Empath: cognitive,zero-filled,Subjective,4,30–39,182,114,0.21418886602243198,0.21341421984593745,0.0007746461764945312,9859.5,0.3070745128934046,
empath_cognitive_processes,Empath: cognitive,zero-filled,Subjective,5,40–49,181,111,0.345407872119098,0.12189739296364596,0.22351047915545205,10878.5,0.06551958072820359,*
empath_cognitive_processes,Empath: cognitive,zero-filled,Subjective,6,50–99,466,282,0.22554431702108457,0.2264442198529487,-0.0008999028318641411,65749.5,0.9821887117623832,
empath_cognitive_processes,Empath: cognitive,zero-filled,Subjective,7,100+,573,662,0.2306439391447433,0.23596592198802577,-0.0053219828432824745,192586.5,0.49977966739903124,
empath_cognitive_processes,Empath: cognitive,zero-filled,Factual,1,1–9,2459,2079,0.182740098621197,0.1697351451953078,0.013004953425889199,2581343.5,0.3229704288923182,
empath_cognitive_processes,Empath: cognitive,zero-filled,Factual,2,10–19,272,436,0.286652599538726,0.19021805105849077,0.09643454848023525,61863.0,0.13794399114261682,
empath_cognitive_processes,Empath: cognitive,zero-filled,Factual,3,20–29,120,210,0.35912457437616013,0.30995390023710157,0.04917067413905857,12733.0,0.8276985089664366,
empath_cognitive_processes,Empath: cognitive,zero-filled,Factual,4,30–39,161,88,0.33537130428936185,0.28957679030370703,0.04579451398565482,7190.5,0.7836138030738566,
empath_cognitive_processes,Empath: cognitive,zero-filled,Factual,5,40–49,140,87,0.2141593334412468,0.39205097899575525,-0.17789164555450845,5992.0,0.7602023021086898,
empath_cognitive_processes,Empath: cognitive,zero-filled,Factual,6,50–99,424,229,0.23616166835557453,0.17076088719406263,0.0654007811615119,48109.0,0.7740144996564491,
empath_cognitive_processes,Empath: cognitive,zero-filled,Factual,7,100+,494,577,0.23199628484565657,0.25349891072574304,-0.021502625880086473,141359.5,0.7398942955458909,
empath_certainty,Empath: certainty,zero-filled,All,1,1–9,5538,4706,0.06237707164746797,0.0641436549387711,-0.0017665832913031296,13084037.0,0.38776425776938606,
empath_certainty,Empath: certainty,zero-filled,All,2,10–19,632,960,0.08640375841213258,0.06237998904735432,0.024023769364778257,306741.5,0.44013294280485993,
empath_certainty,Empath: certainty,zero-filled,All,3,20–29,277,452,0.09510148387946812,0.07099120376076369,0.024110280118704433,65393.5,0.0623479501663769,*
empath_certainty,Empath: certainty,zero-filled,All,4,30–39,343,202,0.09532497577111368,0.09251519153879924,0.002809784232314441,33572.5,0.2450618154827372,
empath_certainty,Empath: certainty,zero-filled,All,5,40–49,321,198,0.04865232407355555,0.09172156884957455,-0.043069244776019006,31678.5,0.8776804384345349,
empath_certainty,Empath: certainty,zero-filled,All,6,50–99,890,511,0.08824407222955837,0.054585472492148845,0.03365859973740952,230595.0,0.3639914695961455,
empath_certainty,Empath: certainty,zero-filled,All,7,100+,1067,1239,0.10240673347263456,0.11434192249073315,-0.011935189018098591,657171.0,0.6563567375558699,
empath_certainty,Empath: certainty,zero-filled,Subjective,1,1–9,3079,2627,0.059171750840020146,0.0649169890613546,-0.0057452382213344505,4054837.5,0.6823528569932957,
empath_certainty,Empath: certainty,zero-filled,Subjective,2,10–19,360,524,0.06382741949232229,0.07080627309081992,-0.0069788535984976335,94103.0,0.9026037299303137,
empath_certainty,Empath: certainty,zero-filled,Subjective,3,20–29,157,242,0.09959493315205241,0.07568925311211835,0.023905680039934055,20070.0,0.09752246998594037,*
empath_certainty,Empath: certainty,zero-filled,Subjective,4,30–39,182,114,0.04439853304000372,0.11044974790558855,-0.06605121486558482,9704.0,0.05271434832543335,*
empath_certainty,Empath: certainty,zero-filled,Subjective,5,40–49,181,111,0.06016853072404276,0.06633317338821697,-0.006164642664174207,10022.5,0.9385721470250815,
empath_certainty,Empath: certainty,zero-filled,Subjective,6,50–99,466,282,0.06389677053885072,0.05035137446176481,0.013545396077085908,67070.0,0.3229346182112375,
empath_certainty,Empath: certainty,zero-filled,Subjective,7,100+,573,662,0.10142213747553623,0.11469069591621474,-0.013268558440678507,191909.0,0.5166117513767421,
empath_certainty,Empath: certainty,zero-filled,Factual,1,1–9,2459,2079,0.06639056606232435,0.0631664790176423,0.00322408704468205,2571253.0,0.3982846959339005,
